ZOTUID,ID_str,Kingdom,Phylum,Class,Order,Family,Genus,Species,metabarcode,fishlist_old,fishlist_new,gbifSB,gbif_temptrans,NC,Australian Faunal Directory,Fishbase,Plausible Order [GBIF],Plausible Family [GBIF],Plausible Genus [GBIF],Plausible Species [all platforms],Plausible Rank [GBIF],Possible match on LitList,Summary,Species Hit,Nr. of Genus in DB,Action,Reason,Status
ZOTU133,Eukaryota_Chordata_Actinopteri_Blenniiformes_NA_NA_NA,Eukaryota,Chordata,Actinopteri,Blenniiformes,NA,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU342,Eukaryota_Chordata_Actinopteri_Perciformes_Centropomidae_Psammoperca_Psammoperca waigiensis,Eukaryota,Chordata,Actinopteri,Perciformes,Centropomidae,Psammoperca,Psammoperca waigiensis,MiFish12S,1,1,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,Family was given as order (and all shifted subsequently). Added order Perciformes  acc. To Australian Faunal Directory,,done 13.05.2024
ZOTU250,Eukaryota_Chordata_Actinopteri_Anguilliformes_Ophichthidae_Ophichthus_Ophichthus zophistius,Eukaryota,Chordata,Actinopteri,Anguilliformes,Ophichthidae,Ophichthus,Ophichthus zophistius,Fish16S,0,0,0,0,0,no,AKA Ophichthus altipennis. Distribution Indo-Pacific https://fishbase.se/summary/Ophichthus-altipennis.html (Clusters alone,yes,yes,yes,no,Genus,Actinopteri,O.altipennis dsitrubution in SB acc. To Fishbase and AFD. Eels are missing from Literature List,1,2,Reassigned to genus level,Species distribution unlikely in Shark Bay,done 10.05.2024
ZOTU374,Eukaryota_Chordata_Actinopteri_Perciformes_Centropomidae_Psammoperca_Psammoperca waigiensis,Eukaryota,Chordata,Actinopteri,Perciformes,Centropomidae,Psammoperca,Psammoperca waigiensis,MiFish12S,1,1,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,Family was given as order (and all shifted subsequently). Added order Perciformes  acc. To Australian Faunal Directory,,done 13.05.2024
ZOTU137,Eukaryota_Chordata_Actinopteri_Syngnathiformes_Callionymidae_NA_NA,Eukaryota,Chordata,Actinopteri,Syngnathiformes,Callionymidae,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU138,Eukaryota_Chordata_Actinopteri_Perciformes_Platycephalidae_Inegocia_Inegocia japonica,Eukaryota,Chordata,Actinopteri,Perciformes,Platycephalidae,Inegocia,Inegocia japonica,MiFish12S,1,1,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,NA,,NA
ZOTU139,Eukaryota_Chordata_Actinopteri_Gobiiformes_Gobiidae_NA_NA,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU14,Eukaryota_Chordata_Actinopteri_Carangiformes_Carangidae_Gnathanodon_Gnathanodon speciosus,Eukaryota,Chordata,Actinopteri,Carangiformes,Carangidae,Gnathanodon,Gnathanodon speciosus,MiFish12S,1,1,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,NA,,NA
ZOTU149,Eukaryota_Chordata_Actinopteri_Beloniformes_Belonidae_Tylosurus_Tylosurus punctulatus,Eukaryota,Chordata,Actinopteri,Beloniformes,Belonidae,Tylosurus,Tylosurus punctulatus,Fish16S,0,0,0,0,1,Dist in North eastern Regions of AUS,Western Central Pacific: north to the Philippines and east to the Solomon Islands.,yes,yes,yes,no,Genus,Beloniformes,"More northern Australia, potentially contamination since in NC",0.92,6,Reassigned to genus level,Species distribution unlikely in Shark Bay,done 10.05.2024
ZOTU141,Eukaryota_Chordata_Actinopteri_NA_NA_NA_NA,Eukaryota,Chordata,Actinopteri,NA,NA,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
