TYPE,ACCESSION,ALIAS,sample_name
SAMPLE,ERS25062171,ena-SAMPLE-TAB-20-06-2025-06:18:14:772-13027,M2056
SAMPLE,ERS25062172,ena-SAMPLE-TAB-20-06-2025-06:18:14:772-13028,M2057
SAMPLE,ERS25062173,ena-SAMPLE-TAB-20-06-2025-06:18:14:772-13029,M2058
SAMPLE,ERS25062174,ena-SAMPLE-TAB-20-06-2025-06:18:14:772-13030,M2059
SAMPLE,ERS25062175,ena-SAMPLE-TAB-20-06-2025-06:18:14:772-13031,M2060
SAMPLE,ERS25062176,ena-SAMPLE-TAB-20-06-2025-06:18:14:773-13032,M2061
SAMPLE,ERS25062177,ena-SAMPLE-TAB-20-06-2025-06:18:14:773-13033,M2062
SAMPLE,ERS25062178,ena-SAMPLE-TAB-20-06-2025-06:18:14:773-13034,M2063
SAMPLE,ERS25062179,ena-SAMPLE-TAB-20-06-2025-06:18:14:773-13035,M2064
SAMPLE,ERS25062180,ena-SAMPLE-TAB-20-06-2025-06:18:14:773-13036,M2065
SAMPLE,ERS25062181,ena-SAMPLE-TAB-20-06-2025-06:18:14:773-13037,M2066
SAMPLE,ERS25062182,ena-SAMPLE-TAB-20-06-2025-06:18:14:773-13038,M2067
SAMPLE,ERS25062183,ena-SAMPLE-TAB-20-06-2025-06:18:14:773-13039,M2068
SAMPLE,ERS25062184,ena-SAMPLE-TAB-20-06-2025-06:18:14:773-13040,M2069
SAMPLE,ERS25062185,ena-SAMPLE-TAB-20-06-2025-06:18:14:773-13041,M2070
SAMPLE,ERS25062186,ena-SAMPLE-TAB-20-06-2025-06:18:14:773-13042,M2071
SAMPLE,ERS25062187,ena-SAMPLE-TAB-20-06-2025-06:18:14:773-13043,M2072
SAMPLE,ERS25062188,ena-SAMPLE-TAB-20-06-2025-06:18:14:773-13044,M2073
SAMPLE,ERS25062189,ena-SAMPLE-TAB-20-06-2025-06:18:14:774-13045,M2074
SAMPLE,ERS25062190,ena-SAMPLE-TAB-20-06-2025-06:18:14:774-13046,M2075
SAMPLE,ERS25062191,ena-SAMPLE-TAB-20-06-2025-06:18:14:774-13047,M2076
SAMPLE,ERS25062192,ena-SAMPLE-TAB-20-06-2025-06:18:14:774-13048,M2077
SAMPLE,ERS25062193,ena-SAMPLE-TAB-20-06-2025-06:18:14:774-13049,M2078
SAMPLE,ERS25062194,ena-SAMPLE-TAB-20-06-2025-06:18:14:774-13050,M2079
SAMPLE,ERS25062195,ena-SAMPLE-TAB-20-06-2025-06:18:14:774-13051,M2080
SAMPLE,ERS25062196,ena-SAMPLE-TAB-20-06-2025-06:18:14:774-13052,M2081
SAMPLE,ERS25062197,ena-SAMPLE-TAB-20-06-2025-06:18:14:774-13053,M2082
SAMPLE,ERS25062198,ena-SAMPLE-TAB-20-06-2025-06:18:14:774-13054,M2083
SAMPLE,ERS25062199,ena-SAMPLE-TAB-20-06-2025-06:18:14:775-13055,M2084
SAMPLE,ERS25062200,ena-SAMPLE-TAB-20-06-2025-06:18:14:775-13056,M2085
SAMPLE,ERS25062201,ena-SAMPLE-TAB-20-06-2025-06:18:14:775-13057,M2086
SAMPLE,ERS25062202,ena-SAMPLE-TAB-20-06-2025-06:18:14:775-13058,M2087
SAMPLE,ERS25062203,ena-SAMPLE-TAB-20-06-2025-06:18:14:775-13059,M2088
SAMPLE,ERS25062204,ena-SAMPLE-TAB-20-06-2025-06:18:14:775-13060,M2089
SAMPLE,ERS25062205,ena-SAMPLE-TAB-20-06-2025-06:18:14:775-13061,M2090
SAMPLE,ERS25062206,ena-SAMPLE-TAB-20-06-2025-06:18:14:775-13062,M2091
SAMPLE,ERS25062207,ena-SAMPLE-TAB-20-06-2025-06:18:14:775-13063,M2092
SAMPLE,ERS25062208,ena-SAMPLE-TAB-20-06-2025-06:18:14:775-13064,M2093
SAMPLE,ERS25062209,ena-SAMPLE-TAB-20-06-2025-06:18:14:775-13065,M2094
SAMPLE,ERS25062210,ena-SAMPLE-TAB-20-06-2025-06:18:14:775-13066,M2095
SAMPLE,ERS25062211,ena-SAMPLE-TAB-20-06-2025-06:18:14:775-13067,M2096
SAMPLE,ERS25062212,ena-SAMPLE-TAB-20-06-2025-06:18:14:775-13068,M2097
SAMPLE,ERS25062213,ena-SAMPLE-TAB-20-06-2025-06:18:14:776-13069,M2098
SAMPLE,ERS25062214,ena-SAMPLE-TAB-20-06-2025-06:18:14:776-13070,M2099
SAMPLE,ERS25062215,ena-SAMPLE-TAB-20-06-2025-06:18:14:776-13071,M2100
SAMPLE,ERS25062216,ena-SAMPLE-TAB-20-06-2025-06:18:14:776-13072,M2101
SAMPLE,ERS25062217,ena-SAMPLE-TAB-20-06-2025-06:18:14:776-13073,M2102
SAMPLE,ERS25062218,ena-SAMPLE-TAB-20-06-2025-06:18:14:776-13074,M2103
SAMPLE,ERS25062219,ena-SAMPLE-TAB-20-06-2025-06:18:14:776-13075,M2104
SAMPLE,ERS25062220,ena-SAMPLE-TAB-20-06-2025-06:18:14:776-13076,M2105
SAMPLE,ERS25062221,ena-SAMPLE-TAB-20-06-2025-06:18:14:776-13077,M2106
SAMPLE,ERS25062222,ena-SAMPLE-TAB-20-06-2025-06:18:14:776-13078,M2107
SAMPLE,ERS25062223,ena-SAMPLE-TAB-20-06-2025-06:18:14:776-13079,M2108
SAMPLE,ERS25062224,ena-SAMPLE-TAB-20-06-2025-06:18:14:776-13080,M2109
SAMPLE,ERS25062225,ena-SAMPLE-TAB-20-06-2025-06:18:14:776-13081,M2110
SAMPLE,ERS25062226,ena-SAMPLE-TAB-20-06-2025-06:18:14:777-13082,M2111
SAMPLE,ERS25062227,ena-SAMPLE-TAB-20-06-2025-06:18:14:777-13083,M2115
SAMPLE,ERS25062228,ena-SAMPLE-TAB-20-06-2025-06:18:14:777-13084,M2116
SAMPLE,ERS25062229,ena-SAMPLE-TAB-20-06-2025-06:18:14:777-13085,M2117
SAMPLE,ERS25062230,ena-SAMPLE-TAB-20-06-2025-06:18:14:777-13086,M2118
SAMPLE,ERS25062231,ena-SAMPLE-TAB-20-06-2025-06:18:14:777-13087,M2119
SAMPLE,ERS25062232,ena-SAMPLE-TAB-20-06-2025-06:18:14:777-13088,M2120
SAMPLE,ERS25062233,ena-SAMPLE-TAB-20-06-2025-06:18:14:777-13089,M2121
SAMPLE,ERS25062234,ena-SAMPLE-TAB-20-06-2025-06:18:14:777-13090,M2122
SAMPLE,ERS25062235,ena-SAMPLE-TAB-20-06-2025-06:18:14:777-13091,M2123
SAMPLE,ERS25062236,ena-SAMPLE-TAB-20-06-2025-06:18:14:777-13092,M2124
SAMPLE,ERS25062237,ena-SAMPLE-TAB-20-06-2025-06:18:14:778-13093,M2125
SAMPLE,ERS25062238,ena-SAMPLE-TAB-20-06-2025-06:18:14:778-13094,M2126
SAMPLE,ERS25062239,ena-SAMPLE-TAB-20-06-2025-06:18:14:778-13095,M2127
SAMPLE,ERS25062240,ena-SAMPLE-TAB-20-06-2025-06:18:14:778-13096,M2128
SAMPLE,ERS25062241,ena-SAMPLE-TAB-20-06-2025-06:18:14:778-13097,M2129
SAMPLE,ERS25062242,ena-SAMPLE-TAB-20-06-2025-06:18:14:778-13098,M2130
SAMPLE,ERS25062243,ena-SAMPLE-TAB-20-06-2025-06:18:14:778-13099,M2131
SAMPLE,ERS25062244,ena-SAMPLE-TAB-20-06-2025-06:18:14:778-13100,M2132
SAMPLE,ERS25062245,ena-SAMPLE-TAB-20-06-2025-06:18:14:778-13101,M2133
SAMPLE,ERS25062246,ena-SAMPLE-TAB-20-06-2025-06:18:14:778-13102,M2134
SAMPLE,ERS25062247,ena-SAMPLE-TAB-20-06-2025-06:18:14:778-13103,M2135
